iter	Passed	Remaining
570	76025	456552
571	76156	456406
572	76293	456296
573	76429	456180
574	76564	456056
575	76699	455933
576	76837	455831
577	76970	455699
578	77108	455590
579	77240	455453
580	77375	455329
581	77513	455225
582	77647	455096
583	77780	454963
584	77916	454847
585	78051	454724
586	78184	454587
587	78317	454454
588	78450	454320
589	78584	454190
590	78720	454075
591	78854	453944
592	78990	453827
593	79122	453686
594	79254	453550
595	79386	453408
596	79520	453282
597	79655	453156
598	79793	453053
599	79928	452926
600	80060	452786
601	80194	452656
602	80327	452523
603	80459	452387
604	80596	452271
605	80732	452156
606	80869	452042
607	81004	451917
608	81140	451804
609	81276	451686
610	81414	451574
611	81546	451438
612	81678	451296
613	81814	451181
614	81949	451056
615	82082	450920
616	82220	450815
617	82353	450677
618	82486	450544
619	82620	450413
620	82756	450294
621	82890	450166
622	83024	450037
623	83163	449933
624	83298	449809
625	83429	449664
626	83568	449564
627	83699	449418
628	83835	449299
629	83972	449187
630	84107	449061
631	84243	448943
632	84378	448820
633	84514	448698
634	84649	448577
635	84783	448444
636	84915	448303
637	85048	448170
638	85186	448063
639	85318	447922
640	85456	447811
641	85588	447672
642	85723	447549
643	85854	447403
644	85988	447272
645	86122	447143
646	86258	447025
647	86392	446895
648	86531	446789
649	86667	446673
650	86802	446548
651	86935	446408
652	87071	446291
653	87203	446152
654	87338	446025
655	87474	445904
656	87610	445787
657	87744	445656
658	87878	445528
659	88013	445399
660	88147	445272
661	88279	445130
662	88417	445022
663	88550	444886
664	88688	444777
665	88824	444658
666	88959	444529
667	89092	444397
668	89228	444276
669	89362	444146
670	89497	444019
671	89630	443884
672	89763	443751
673	89895	443607
674	90030	443485
675	90164	443354
676	90299	443227
677	90431	443088
678	90565	442958
679	90700	442833
680	90833	442695
681	90966	442562
682	91099	442428
683	91232	442289
684	91366	442162
685	91497	442013
686	91632	441890
687	91766	441760
688	91900	441629
689	92035	441505
690	92170	441378
691	92303	441242
692	92438	441117
693	92572	440988
694	92708	440863
695	92840	440723
696	92971	440581
697	93106	440454
698	93244	440345
699	93377	440206
700	93513	440087
701	93646	439951
702	93780	439822
703	93912	439682
704	94046	439548
705	94178	439408
706	94317	439303
707	94451	439173
708	94587	439051
709	94721	438919
710	94856	438794
711	94987	438651
712	95119	438508
713	95252	438375
714	95382	438226
715	95517	438099
716	95651	437969
717	95784	437834
718	95914	437685
719	96050	437562
720	96195	437483
721	96328	437346
722	96464	437223
723	96598	437095
724	96728	436946
725	96862	436814
726	96993	436670
727	97122	436517
728	97259	436401
729	97397	436286
730	97530	436153
731	97664	436020
732	97799	435893
733	97935	435773
734	98070	435644
735	98205	435522
736	98342	435401
737	98476	435272
738	98611	435145
739	98749	435029
740	98883	434899
741	99016	434765
742	99154	434651
743	99288	434519
744	99420	434381
745	99557	434264
746	99694	434144
747	99826	434005
748	99959	433867
749	100090	433724
750	100224	433592
751	100358	433461
752	100492	433332
753	100627	433206
754	100762	433078
755	100896	432947
756	101030	432814
757	101163	432681
758	101296	432546
759	101428	432407
760	101564	432281
761	101696	432142
762	101829	432009
763	101962	431874
764	102099	431752
765	102234	431627
766	102366	431488
767	102499	431352
768	102635	431227
769	102769	431098
770	102903	430966
771	103039	430845
772	103174	430718
773	103307	430582
774	103443	430459
775	103580	430338
776	103714	430208
777	103847	430071
778	103980	429938
779	104113	429803
780	104249	429678
781	104382	429542
782	104519	429425
783	104655	429299
784	104791	429176
785	104925	429045
786	105059	428914
787	105196	428794
788	105327	428653
789	105461	428521
790	105596	428392
791	105729	428257
792	105864	428129
793	105995	427987
794	106127	427848
795	106262	427719
796	106395	427584
797	106527	427444
798	106663	427320
799	106801	427204
800	106935	427073
801	107071	426950
802	107207	426827
803	107339	426689
804	107475	426564
805	107610	426437
806	107748	426319
807	107881	426184
808	108016	426057
809	108149	425922
810	108283	425792
811	108417	425660
812	108546	425508
813	108682	425383
814	108815	425247
815	108945	425100
816	109074	424949
817	109206	424810
818	109340	424678
819	109473	424542
820	109607	424411
821	109742	424284
822	109877	424156
823	110013	424030
824	110147	423902
825	110282	423773
826	110416	423640
827	110553	423523
828	110687	423388
829	110818	423247
830	110953	423118
831	111089	422992
832	111226	422875
833	111361	422745
834	111497	422621
835	111634	422500
836	111775	422395
837	111906	422254
838	112043	422131
839	112177	422000
840	112310	421865
841	112444	421734
842	112585	421628
843	112736	421560
844	112876	421451
845	113012	421326
846	113146	421192
847	113277	421048
848	113406	420901
849	113542	420773
850	113673	420631
851	113807	420498
852	113937	420351
853	114069	420215
854	114201	420074
855	114331	419926
856	114463	419788
857	114594	419645
858	114728	419513
859	114861	419378
860	114992	419235
861	115124	419097
862	115260	418969
863	115388	418818
864	115523	418690
865	115655	418548
866	115798	418450
867	115931	418313
868	116064	418177
869	116197	418044
870	116342	417952
871	116485	417852
872	116623	417734
873	116759	417607
874	116899	417499
875	117035	417373
876	117169	417242
877	117303	417109
878	117435	416968
879	117569	416838
880	117701	416696
881	117831	416553
882	117964	416417
883	118097	416280
884	118232	416150
885	118362	416005
886	118500	415886
887	118634	415754
888	118768	415623
889	118901	415488
